society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
Gated Community,5.25,20115,2610,5,4,3+,3,2,0 to 1 Year Old,5,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.3846684,77.0220391,0
independent,5.7,105751,539,5,4,2,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,0,0,1,1,0,0,0,2.5,28.4601,77.02635,0
independent,2.1,38251,549,10,10,3+,5,7,0 to 1 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,1,0,0,0.5,28.4545693,77.0826249,0
independent,5,43066,1161,21,21,3+,5,1,1 to 5 Year Old,4,5,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.441611,77.1118718,0
independent,3,53763,558,12,12,3+,5,7,0 to 1 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,1,0,0,0.5,28.4545693,77.0826249,0
independent,4.5,39062,1152,20,20,3+,4,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,0,0,1,1,1,1,0,0,0.5,28.4545693,77.0826249,0
Gated Community,12,37037,3240,5,5,3+,3,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,0,0,1,2.5,28.3974292,77.0538823,0
Gated Community,15.7,48889,4091,16,16,3+,4,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,0,0,0,1,1,0,0,0,0.5,28.4714278,77.0939848,0
independent,10.85,38150,2844,6,6,1,3,2,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,1,28.483901,77.0846097,0
Gated Community,1.95,10077,1935,3,4,3+,4,7,0 to 1 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,0,0,1,0.5,28.4601,77.02635,0
independent,4.45,32963,1350,4,3,3+,2,7,5 to 10 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,0,0,0,1,28.483901,77.0846097,0
independent,9,27778,3240,6,7,3+,3,1,5 to 10 Year Old,5,4,5,5,Fully Furnished,1,0,1,1,1,1,0,1,3.5,28.6273247,75.96433886,1
Gated Community,5,34083,1467,13,13,3+,4,1,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,0,1,1,1,0,0,1,1,28.4601,77.02635,0
independent,15,33200,4518,5,6,3+,3,1,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,0,0,0,3.5,28.4601,77.02635,0
independent,8.25,30556,2700,5,6,3+,3,7,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,1,0,0,3.5,28.4601,77.02635,0
independent,2,14914,1341,6,4,3,3,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,0,1,1,1,0,0,0,2,28.4601,77.02635,0
Gated Community,10.75,29861,3600,9,9,3+,3,6,10+ Year Old,5,5,5,5,Fully Furnished,1,0,0,1,1,0,0,1,2.5,28.483901,77.0846097,0
independent,2.1,23333,900,7,7,3+,3,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,1,1,0,0,0,0,0,3,28.4351423,77.0403538,0
Gated Community,7.35,41762,1760,4,4,3+,3,4,5 to 10 Year Old,5,5,5,5,Fully Furnished,0,1,0,1,1,0,1,0,1.5,28.4150509,77.0642955,0
independent,4.45,15451,2880,6,6,3,3,1,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4601,77.02635,0
independent,3.4,12938,2628,9,9,3,3,7,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,0,1,1,0,0,0,0,28.3840986,76.8861337,0
Gated Community,12,38095,3150,5,6,3+,3,2,1 to 5 Year Old,3,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,1.5,28.3974292,77.0538823,0
independent,8.4,25926,3240,4,4,3,2,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,1,0,0,0,0,1.5,28.4104903,77.0394627,0
Gated Community,8.5,26235,3240,4,4,2,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,0,1,2.5,28.4104903,77.0394627,0
independent,7.6,38760,1961,9,9,3,4,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,0,1,1,3,28.483901,77.0846097,0
Gated Community,7,25926,2700,5,5,3+,3,2,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,2.5,28.4601,77.02635,0
Gated Community,4.75,9374,5067,5,5,1,1,5,10+ Year Old,5,5,5,5,Fully Furnished,1,0,1,1,1,1,1,0,2.5,28.4750063,77.0103535,0
independent,3.5,13410,2610,9,9,3+,3,2,1 to 5 Year Old,4,4,4,4,Fully Furnished,0,0,0,0,0,0,0,1,1,28.4621791,77.0000718,0
independent,5,21124,2367,9,9,3+,3,3,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,0,0,0,0,1.5,28.4500427,77.0577093,0
independent,10.56,32593,3240,5,5,3,3,0,5 to 10 Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,0,0,0,0.5,28.4150509,77.0642955,0
Gated Community,5.46,24170,2259,4,5,3+,2,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,0,0,1,3,28.4601,77.02635,0
independent,10,37037,2700,5,6,3,3,1,10+ Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,1.5,28.483901,77.0846097,0
independent,9,28490,3159,10,10,3,3,0,10+ Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,1,28.483901,77.0846097,0
independent,10,122222,818,4,4,3+,1,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,1,0,0.5,28.4601,77.02635,0
independent,1.95,13542,1440,2,2,2,2,0,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3760277,76.9122152,0
independent,3.3,19097,1728,4,4,2,3,5,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,1,0,1,1,0,1,0,1,28.4601,77.02635,0
Gated Community,13,48148,2700,12,16,3+,4,2,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4601,77.02635,0
independent,7.2,22222,3240,3,3,2,1,1,10+ Year Old,5,5,5,5,Fully Furnished,1,0,1,1,1,0,0,0,1,28.4646148,77.0299194,0
Gated Community,6,22222,2700,4,4,3+,3,0,10+ Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,0,1,1,28.4741302,77.0825722,0
independent,9,33333,2700,5,5,3,3,1,10+ Year Old,5,5,5,5,Fully Furnished,0,1,1,1,1,1,1,1,3.5,28.483901,77.0846097,0
independent,5.8,32222,1800,5,5,3+,2,1,10+ Year Old,5,5,5,5,Fully Furnished,0,0,1,1,1,1,1,1,3.5,28.4714278,77.0939848,0
Gated Community,0.55,7290,754,2,1,1,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,0,0,1,1,28.4601,77.02635,0
independent,7.49,27741,2700,12,12,3+,4,5,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,2.5,28.4274166,77.1097538,0
independent,13.5,50000,2700,16,16,3+,4,3,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,3,28.4601,77.02635,0
independent,11.95,43534,2745,12,12,3+,4,7,1 to 5 Year Old,4,5,5,4,Fully Furnished,0,0,1,1,1,1,1,0,0.5,28.4253232,77.0985157,0
independent,12.39,45889,2700,16,18,3+,4,2,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1.5,28.4253232,77.0985157,0
Gated Community,6.25,34722,1800,5,5,3,2,0,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,0,0,0,1.5,28.483901,77.0846097,0
Gated Community,3.6,19231,1809,5,5,3+,3,0,1 to 5 Year Old,3,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,2.5,28.3974292,77.0538823,0
Gated Community,5.4,20690,2610,4,5,3+,3,1,1 to 5 Year Old,5,4,4,4,Fully Furnished,1,1,1,1,0,0,0,1,3.5,28.4601,77.02635,0
independent,5.75,29716,1935,4,4,2,2,1,10+ Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,1,0,0,2.5,28.4601,77.02635,0
independent,2.55,16378,1557,3,3,2,2,4,10+ Year Old,5,5,5,4,Fully Furnished,0,0,0,1,0,0,0,0,0,28.4983353,77.0203007,0
independent,5.6,17284,3240,8,6,3+,2,6,5 to 10 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,3.5,28.4983353,77.0203007,0
independent,15.7,37777,4500,5,8,3+,3,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4405031,77.0595974,0
Gated Community,7.99,12519,6382,4,6,3,2,5,0 to 1 Year Old,5,4,4,3,Fully Furnished,1,1,1,0,0,0,0,1,2.5,28.4601,77.02635,0
Gated Community,3.75,25562,1467,6,6,3,3,0,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,0,1,0,0.5,28.4601,77.02635,0
Gated Community,7.25,27971,2592,3,4,2,2,4,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4104903,77.0394627,0
Gated Community,8.4,21000,4000,4,5,3+,2,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,0,1,0,2.5,28.4104903,77.0394627,0
independent,3.55,24500,1449,4,4,3+,2,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,1,0,0,28.4274166,77.1097538,0
Gated Community,2.5,7058,3542,4,4,3+,3,0,5 to 10 Year Old,4,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,3.5,28.4007588,76.9210802,0
Gated Community,2.5,7058,3542,4,4,3+,3,0,5 to 10 Year Old,5,5,4,4,Fully Furnished,0,1,1,0,0,0,0,1,3.5,28.3981205,76.9411257,0
Gated Community,9,11250,6430.5,5,5,3+,3,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.4601,77.02635,0
independent,2.1,23333,900,3,3,2,3,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,1,1,0,0.5,28.4500427,77.0577093,0
independent,4.5,20000,2250,5,5,1,1,0,1 to 5 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4730128,77.0482686,0
